"id"	"exhibitions"
1682	""
1700	""
2454	""
22151	""
22991	""
28465	"ArtBase101"
31867	"Commission 2005, D.I.Y. or DIE, 2007, Anna Kustera, NY, THE BLACK MARKET
2007, Milano, IT, MIART art fair, \"In Attesa Di Giudizio\" by Milovan Farronato, Francesca Pasini and Michele Robecchi
2007, artMovingProjects, Brooklyn, NY
2007, Pittsburgh, PA , Wood Street Galleries, \"Thread\" by Michele Thursz
2006, Oklahoma City, IAO, Rhizome.org, \"DIY or DIE\" Rhizome's 10th Anniversary 
2006, Miami, FL, \"M * A * S * H\" by David Hunt and Michael Sellinger (part of \"'art loves design\")
2006, New York, NY, MoMA Museum of Modern Art, Film Screening, \"8bit\" by Marcin Ramocki
2006, Monza, IT, Galleria Civica, GameScapes. Videogame Landscapes and Cities in the Works of Five International Artists 
2005, London, UK, ICA - Institute of Contemporary Arts - Carlo Zanni: A Retrospective
2005, New Museum NY, Rhizome Commissions"
32874	"ArtBase101, Desert, 6e Manifestation Internationale Vidéo et Art Electronique, Montréal
 New York Video Festival, Lincoln Center, NYC
 Image Forum Festival 2004, Kyoto, Japan 
 Transmediale 04, Berlin, Germany
Taiwan International Documentary Festival, Taipei, Taiwan 
Colony Hudson Clearing, NYC, curated by Emily Wei and Haan Chau, 
Get rid of yourself, curated by Frank Motz, Leipzig, Weimar, Munich, Germany
Beta Launch 03, EYEBEAM, NYC"
32878	"ArtBase101"
33460	"ArtBase101, Artport, Whitney Museum of American Art, \"Korea Web Art Festival\", Soul, South Korea Curated by Young-hae Chang Hevy Industries, \"Parole, Parole, Parole\", Galleria Civica di Arte Contemporanea, Trento, Italy"
36510	""
41437	"Splashback: Rhizome's Splash Pages 1998-2002"
45961	"Commission 2007"
46041	""
46852	"D.I.Y. or DIE"
48134	""
48370	"HTML Color Codes, Taipei Art Fair (Taiwan), Afficha Festival (Moscow)"
49115	""
49119	""
49196	""
49301	"HTML Color Codes"
49544	""
50218	""
50369	""
51641	""
52124	""
52125	"TIMESHARES: Faultlines, Screening Presentation @ Printed Matter, Inc. Jan. 14th 2006 NY, Sandy Brown Berlin, Künstlerhaus Stuttgart Germany"
52233	""
52325	""
52327	""
52337	""
